Parameter;Buero;Gruppenbuero;Grossraumbüro;Besprechung;Schalterhalle;Einzelhandel_Kaufhaus;Einzelhandel_Kaufhaus mit Kühlung;Klassenzimmer_Gruppenraum;Hoersaal_Auditorium;Betten-zimmer;Hotelzimmer;Kantine;Restaurant;Kueche in Nichtwohngebäuden;Kueche – Vorbereitung, Lager;WC und Sanitaerraeume in Nichtwohngebaeuden;Sonstige Aufenthaltsräume;Nebenflaechen (ohne Aufenthaltsräume);Verkehrsflächen;Lager, Technik, Archiv;Rechenzentrum;Gewerbliche und industrielle Hallen – schwere Arbeit, stehende Taetigkeit;Gewerbliche und industrielle Hallen – mittelschwere Arbeit, überwiegend stehende Taetigkeit;Gewerbliche und industrielle Hallen – leichte Arbeit, überwiegend sitzende Tätigkeit;Zuschauerbereich (Theater und Veranstaltungsbauten);Foyer (Theater und Veranstaltungsbauten);Buehne (Theater und Veranstaltungsbauten);Messe_Kongress;Ausstellungsrauume und Museum mit konservatorischen Anforderungen;Bibliothek – Lesesaal;Bibliothek – Freihandbereich;Bibliothek – Magazin und Depot;Turnhalle ohne Zuschauer;Parkhaeuser (Buero- und Privatnutzung);Parkhaeuser (Oeffentliche Nutzung);Saunabereich;Fitnessraum;Labor;Untersuchungs- und Behandlungsraeume;Sepzialpflegebereiche;Flure des allgemeinen Pflegebereichs;Arztpraxen und therapeutische Praxen;Lagerhallen, Logistikhallen
personenbezogen;40;40;60;20;20;20;20;30;30;0;30;30;30;0;0;0;0;0;0;0;40;70;50;30;30;20;0;20;20;20;20;0;60;0;0;0;60;0;0;0;0;0;36
flächenbezogen;4;4;6;15;2;4;4;10;30;5;3;18;18;90;15;15;7;0;0;0.15;1.3;3.5;2.5;1.5;40;25;0.3;7;2;8;2;3;3;8;8;15;12;25;10;30;10;10;1
Luftwechsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mindestaußenluftvolumenstrom für Gebäude VAGeb;2.5;2.5;2.5;2.5;1.25;2.5;2.5;2.5;2.5;2.5;2;2.5;2.5;0;0;5;2.5;0;0;0;0;0;0;0;5;5;0;2.5;2;2.5;2;2;1.25;0;0;0;2.5;0;2.5;0;0;2.5;0
Relative Abwesenheit RLT;0.3;0.3;0.2;0.5;0.5;0.5;0.5;0.25;0.5;0;0.5;0.7;0.6;0;0;0.7;0.5;0;0;0;0;0;0;0;0.7;0.5;0;0.7;0.5;0.5;0;0.5;0.5;0;0;0;0.5;0;0.3;0;0;0.3;0
Teilbetriebsfaktor der Gebäudebetriebszeit;0.7;0.7;1;0.5;1;1;1;0.9;0.6;0.8;0.5;1;0.7;0;0;1;0.8;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0.9;0;0;0;0.9;0;0.7;0;0;0.7;0
Beleuchtung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wartungswert der Beleuchtungsstärke;500;500;500;500;200;300;300;300;500;300;200;200;200;500;300;200;300;100;100;100;500;300;400;500;200;300;1000;300;200;500;200;100;300;75;75;200;300;500;500;300;125;500;150
Höhe der Nutzebene;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.2;0.8;0.8;0.8;0.8;0.8;0.8;0;0;0.8;0.8;0.8;0.8;0.8;1;0.2;0.2;0;0;1;0.8;0.8;0.2;0.8;0
Minderungsfaktor kA;0.84;0.92;0.93;0.93;0.87;0.93;0.93;0.97;0.92;1;1;0.97;1;0.96;1;1;0.93;1;1;1;0.96;0.85;0.85;0.85;0.97;1;0.9;0.93;0.88;0.88;1;1;1;1;1;1;1;0.92;1;1;1;1;1
relative Abwesenheit CA;0.3;0.3;0;0.5;0;0;0;0.25;0.25;0;0.6;0;0;0;0.5;0.9;0.5;0.9;0.8;0.98;0.5;0.1;0.1;0.1;0;0.5;0;0.5;0;0;0;0.9;0.3;0.95;0.8;0;0;0.3;0;0;0.8;0;0.6
Raumindex k;0.9;1.25;2.5;1.25;1.5;2.5;2.5;2;2.5;1.5;1.25;2.5;2.5;1.5;1.5;0.8;1.25;1.5;0.8;1.5;1.5;2.5;2.5;2.5;4;4;2.5;5;2;1.5;1.5;1.5;2;2;4;1;2;1.25;1.2;1.2;1;1.2;2.4
Minderungsfaktor Gebäudebetriebszeit Ft;0.7;0.7;1;1;1;1;1;0.9;0.7;0.5;0.3;1;1;1;1;1;1;1;1;1;0.5;0.9;0.9;0.9;1;1;0.6;1;1;1;1;1;1;1;1;1;1;1;1;0.8;1;1;0.4
Anpassungfaktor Beleuchtung vertikaler Flächen kVB;1;1;1;1;1;1.5;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1.7;2;1;1;1;1;1;1;1;1;1;1;1.8
Personenbelegung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
maximale Belegungsdichte;14;14;10;3;12;5;5;3;1;14;10;1.2;1.2;10;10;0;3;0;0;0;30;20;20;20;0.75;0.8;0;3;10;2.5;10;0;20;0;0;12;5;14;6;15;0;12;0
Interne Wärmequellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vollnutzungstunden Personen;6;6;6;4;6;6;6;5;6;24;10;3;4;7;7;0;4;0;0;0;6;8;8;8;2;1;0;6;4;6;6;0;10;0;0;10;12;6;7;24;0;9;0
Vollnutzungstunden Geräte;6;6;6;4;6;12;17;5;6;6;11;5;7;6;6;0;4;0;0;0;12;8;8;8;0;0;0;6;0;0;0;0;0;0;0;10;12;6;5;24;0;5;0
Aktivität Personen (sensible);70;70;70;70;70;70;70;60;70;70;70;70;70;80;80;0;70;0;0;0;70;120;100;80;70;70;0;70;70;70;70;0;125;0;0;70;110;90;70;70;0;70;0
Geräteleistung;100;100;100;6;48;10;-50;12;4;56;40;2.4;2.4;3000;300;0;6;0;0;0;4500;700;700;700;0;0;0;6;0;0;0;0;0;0;0;600;10;252;42;142.5;0;60;0
Personenlast [W/m2];5;5;7;23.3;5.8;14;14;20;70;5;7;58.3;58.3;8;8;0;23.3;0;0;0;2.3;6;5;4;93.3;87.5;0;23.3;7;28;7;0;6.3;0;0;5.8;22;6.4;11.7;4.7;0;5.8;0
Arbeitshilfen (Geräte) [W/m2];7.1;7.1;10;2;4;2;-10;4;4;4;4;2;2;300;30;0;2;0;0;0;150;35;35;35;0;0;0;2;0;0;0;0;0;0;0;50;2;18;7;9.5;0;5;0
